編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLLMLHKFFCP56DA,,169.32,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPTNMLNKMHKFFDP66DA,42,163.97,住家用,加強磚造,61年10月1日,003,一層 二層 三層
RPQOMLQLLHKFFEP86DA,28,143.21,住家用,加強磚造,75年9月30日,002,一層 二層 電梯樓梯間
RPTNMLKMLHKFFEP56DA,30,146.30,住家用,加強磚造,73年12月15日,003,一層 二層 三層
RPPPMLRLLHKFFAP56DA,,173.40,見其他登記事項,鋼筋混凝土造,103年11月17日,003,一層 二層 三層 屋頂突出物 騎樓
RPQPMLRLLHKFFAP66DA,,163.11,見其他登記事項,鋼筋混凝土造,103年11月17日,003,一層 二層 三層 屋頂突出物
RPRPMLRLLHKFFAP76DA,,167.52,見其他登記事項,鋼筋混凝土造,103年11月17日,003,一層 二層 三層 屋頂突出物
RPSPMLRLLHKFFAP86DA,,171.25,見其他登記事項,鋼筋混凝土造,103年11月17日,003,一層 二層 三層 屋頂突出物
RPPOMLLMLHKFFAP58DA,1,264.00,見其他登記事項,鋼筋混凝土造,103年1月27日,004,三層 四層 一層 二層
RPXNMLSLMHKFFAP37DA,23,160.02,住家用,鋼筋混凝土造,81年4月15日,003,一層 二層 三層 騎樓 電梯樓梯間
RPRNMLKMLHKFFEP88CA,18,123.48,住家用,鋼筋混凝土造,85年10月14日,003,一層 二層 三層
RPSNMLPJMHKFFEP66CA,1,215.09,見其他登記事項,鋼筋混凝土造,103年8月22日,003,一層 二層 三層 騎樓 見其他登記事項
RPRNMLLJMHKFFDP68CA,20,190.77,住家用,鋼筋混凝土造,83年9月23日,003,一層 二層 三層 電梯樓梯間
RPVNMLMJMHKFFDP56CA,,222.79,住家用,鋼筋混凝土造,103年12月9日,003,一層 二層 三層
RPPOMLMLMHKFFAP58CA,44,160.33,住商用,加強磚造,60年8月10日,003,一層 二層 三層 騎樓
RPPOMLMLMHKFFAP58CA,38,68.25,住家用,鋼筋混凝土加強磚造,66年9月7日,003,一層 二層 三層
RPQPMLNLMHKFFAP88CA,35,107.31,住商用,加強磚造,69年3月15日,002,一層 二層 騎樓 電梯樓梯間
RPTPMLRLLHKFFAP86CA,12,235.45,住家用,鋼筋混凝土造,91年12月30日,004,四層 電梯樓梯間 一層 二層 三層
RPQNMLTLLHKFFAP56CA,1,79.47,住家用,鋼筋混凝土造,103年9月4日,004,三層
RPQNMLTLLHKFFAP56CA,1,15.50,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPRNMLTLLHKFFAP66CA,1,59.36,住家用,鋼筋混凝土造,103年9月4日,004,三層
RPRNMLTLLHKFFAP66CA,1,16.58,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPSNMLTLLHKFFAP76CA,1,61.43,住家用,鋼筋混凝土造,103年9月4日,004,四層
RPSNMLTLLHKFFAP76CA,1,16.45,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPTNMLTLLHKFFAP86CA,1,63.59,住家用,鋼筋混凝土造,103年9月4日,004,二層
RPTNMLTLLHKFFAP86CA,1,16.31,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPUNMLTLLHKFFAP96CA,1,56.10,見其他登記事項,鋼筋混凝土造,103年9月4日,004,一層
RPUNMLTLLHKFFAP96CA,1,7.17,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPQOMLRLLHKFFAP09CA,,217.24,見其他登記事項,鋼筋混凝土造,103年10月1日,003,一層 二層 三層 電梯樓梯間
RPROMLRLLHKFFAP56CA,,83.66,見其他登記事項,鋼筋混凝土造,103年10月3日,003,一層 二層 三層 電梯樓梯間
RPROMLRLLHKFFAP56CA,,83.66,見其他登記事項,鋼筋混凝土造,103年10月3日,003,一層 二層 三層 電梯樓梯間
RPTOMLRLLHKFFAP76CA,,167.32,見其他登記事項,鋼筋混凝土造,103年10月3日,003,一層 二層 三層 電梯樓梯間
RPVNMLKMLHKFFAP88CA,1,54.64,見其他登記事項,鋼筋混凝土造,103年9月4日,004,一層
RPVNMLKMLHKFFAP88CA,1,7.17,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPWNMLKMLHKFFAP98CA,1,56.52,見其他登記事項,鋼筋混凝土造,103年9月4日,004,一層
RPWNMLKMLHKFFAP98CA,1,7.17,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPXNMLKMLHKFFAP09CA,1,217.90,住商用,鋼筋混凝土造,103年9月4日,004,一層 二層 三層 四層 騎樓
RPWNMLTLLHKFFAP17CA,1,61.84,住家用,鋼筋混凝土造,103年9月4日,004,二層
RPWNMLTLLHKFFAP17CA,1,16.46,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPXNMLTLLHKFFAP27CA,1,56.51,住家用,鋼筋混凝土造,103年9月4日,004,三層
RPXNMLTLLHKFFAP27CA,1,16.58,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPOOMLTLLHKFFAP09CA,1,56.52,見其他登記事項,鋼筋混凝土造,103年9月4日,004,一層
RPOOMLTLLHKFFAP09CA,1,7.17,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPPOMLTLLHKFFAP56CA,1,56.51,住家用,鋼筋混凝土造,103年9月4日,004,四層
RPPOMLTLLHKFFAP56CA,1,16.45,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPPNMLKMLHKFFAP28CA,34,113.64,住家用,加強磚造,70年4月20日,002,一層 二層
RPQNMLKMLHKFFAP38CA,1,61.84,住家用,鋼筋混凝土造,103年9月4日,004,三層
RPQNMLKMLHKFFAP38CA,1,16.58,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPTNMLKMLHKFFAP68CA,1,56.52,住家用,鋼筋混凝土造,103年9月4日,004,三層
RPTNMLKMLHKFFAP68CA,1,16.58,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPQNMLOJNHKFFAP68CA,19,96.92,住家用,鋼筋混凝土造,85年8月18日,007,六層
RPQNMLOJNHKFFAP68CA,19,38.05,共有部份,鋼筋混凝土造,85年8月18日,007
RPROMLKKMHKFFAP48CA,36,72.32,住商用,見其他登記事項,68年5月22日,002,一層 二層
RPTNMLMJMHKFFDP98CA,,220.53,住家用,鋼筋混凝土造,103年12月9日,003,一層 二層 三層
RPTOMLMJMHKFFDP09CA,27,137.23,住商用,加強磚造,77年7月30日,002,一層 二層 騎樓
RPQNMLRLLHKFFDP66CA,20,95.62,住家用,鋼筋混凝土造,83年11月28日,010,一層
RPQNMLRLLHKFFDP66CA,20,1.00,共有部份,鋼筋混凝土造,83年11月28日,010
RPQNMLRLLHKFFDP66CA,20,8.12,共有部份,鋼筋混凝土造,83年11月28日,010
RPQNMLRLLHKFFDP66CA,20,15.95,共有部份,鋼筋混凝土造,83年11月28日,010
RPOOMLLLMHKFFDP68CA,36,135.45,住家用,加強磚造,68年7月1日,001,一層
RPOOMLMLMHKFFEP88CA,1,185.77,住家用,鋼筋混凝土造,102年10月14日,003,一層 二層 三層 屋頂突出物
RPQOMLLMLHKFFAP68DA,1,270.83,見其他登記事項,鋼筋混凝土造,103年1月27日,004,一層 二層 三層 四層
RPWNMLKLMHKFFEP76CA,20,172.06,住家用,鋼筋混凝土造,84年1月25日,003,一層 二層 三層 騎樓 電梯樓梯間
RPSNMLLMLHKFFCP98DA,,172.92,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPWNMLLMLHKFFCP76DA,,172.91,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPOOMLLMLHKFFCP68DA,,178.61,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPPOMLLMLHKFFCP78DA,,172.87,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPVOMLLMLHKFFDP86DA,22,221.40,住家用,鋼筋混凝土造,81年11月27日,003,一層 二層 三層 電梯樓梯間
RPSNMLRLLHKFFFP17DA,,171.87,見其他登記事項,鋼筋混凝土加強磚造,103年12月17日,003,一層 二層 三層
RPPNMLMJMHKFFFP88DA,39,263.67,住商用,加強磚造,65年1月20日,003,一層 二層 三層 騎樓
RPVNMLLMLHKFFCP66DA,,169.32,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPPNMLKMLHKFFCP58DA,19,52.79,住家用,鋼筋混凝土造,84年12月20日,008,四層
RPPNMLKMLHKFFCP58DA,19,5.85,共有部份,鋼筋混凝土造,84年12月20日,008
RPPNMLKMLHKFFCP58DA,19,.44,共有部份,鋼筋混凝土造,84年12月20日,
RPPNMLKMLHKFFCP58DA,19,7.71,共有部份,鋼筋混凝土造,84年12月20日,
RPRNMLKMLHKFFAP58DA,34,122.62,住家用,加強磚造,70年3月10日,002,一層 二層 電梯樓梯間
