編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLPLLHKFFAT17CA,21,31.68,見其他登記事項,鋼筋混凝土造,83年5月16日,006
RPWNMLQLLHKFFAT27CA,42,25.90,住家用,磚造,62年5月21日,001,一層 騎樓
RPROMLPLLHKFFAT76CA,15,62.91,見其他登記事項,鋼筋混凝土造,88年12月4日,014,四層
RPROMLPLLHKFFAT76CA,15,23.05,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPQNMLSJMHKFFAT76CA,22,134.22,住家用,鋼筋混凝土造,82年3月22日,003,一層 二層 三層
RPPNMLQLLHKFFAT56CA,41,124.36,住家用,磚造,62年12月31日,002,一層 二層
RPQOMLPLLHKFFAT66CA,33,75.62,住家用,鋼筋混凝土造,71年8月10日,005,五層
RPQOMLPLLHKFFAT66CA,33,12.09,共用部分,鋼筋混凝土造,71年8月10日,005
RPVOMLKMLHKFFAT76CA,,229.03,住家用,鋼筋混凝土造,103年11月25日,003,一層 二層 三層 屋頂突出物
RPPPMLQLLHKFFAT76CA,20,14.87,住家用,鋼筋混凝土造,83年11月4日,013,十層
RPPPMLQLLHKFFAT76CA,20,8.35,見其他登記事項,鋼筋混凝土造,83年11月4日,013
RPXNMLOKMHKFFCT37CA,38,200.76,住商用,加強磚造,65年9月17日,002,一層 二層 騎樓
RPXNMLKLMHKFFCT07CA,38,107.76,住商用,加強磚造,65年9月17日,002,一層 二層 騎樓
RPXNMLKLMHKFFCT07CA,38,111.18,住商用,加強磚造,65年9月17日,002,騎樓 一層 二層
RPVOMLTJMHKFFCT67CA,15,18.88,住家用,鋼筋混凝土造,88年11月30日,005,四層
RPVOMLTJMHKFFCT67CA,15,7.67,見其他登記事項,鋼筋混凝土造,88年11月30日,005
RPVNMLQLLHKFFCT37CA,21,314.50,住商用,鋼筋混凝土造,83年9月6日,005,一層 二層 三層 四層 五層 騎樓
RPTOMLQLLHKFFCT27CA,34,65.83,住家用,加強磚造,70年3月20日,001,一層
RPTNMLRLLHKFFDT47DA,4,195.61,住宅,鋼筋混凝土構造,100年8月15日,004,一層 二層 三層 四層
RPUOMLLJMHKFFCT86DA,12,165.50,住家用,鋼筋混凝土造,92年3月25日,003,一層 二層 三層
RPPNMLRLLHKFFET17DA,20,22.17,住家用,鋼筋混凝土造,84年1月10日,012,八層
RPPNMLRLLHKFFET17DA,20,11.17,見其他登記事項,鋼筋混凝土造,84年1月10日,012
RPQOMLRJMHKFFDT07CA,19,168.69,住家用,鋼筋混凝土造,85年8月5日,003,一層 二層 三層
RPSNMLRLLHKFFBT17DA,20,73.42,住商用,鋼筋混凝土造,84年5月4日,003,一層 二層 三層
RPWOMLQKMHKFFAT47DA,15,137.37,見其他登記事項,鋼筋混凝土造,88年12月4日,014,二層
RPWOMLQKMHKFFAT47DA,15,39.37,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPQOMLKKMHKFFAT88DA,15,218.17,見其他登記事項,鋼筋混凝土造,88年12月4日,014,十三層 十四層
RPQOMLKKMHKFFAT88DA,15,78.74,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPQNMLNKMHKFFDT66CA,1,157.90,住宅,鋼筋混凝土構造,103年7月7日,003,一層 二層 三層
RPUNMLLJMHKFFDT76CA,18,83.71,見其他登記事項,鋼筋混凝土造,86年3月22日,017,八層
RPUNMLRLLHKFFDT47CA,,165.86,住宅,鋼筋混凝土構造,103年10月1日,003,一層 二層 三層
RPPNMLSLLHKFFDT07CA,1,335.06,住宅,鋼筋混凝土構造,103年6月27日,004,一層 二層 三層 四層
RPTNMLKMLHKFFDT76CA,33,109.17,住宅,鋼筋混凝土造,70年11月30日,003,一層 二層 三層 騎樓
RPSNMLNKMHKFFDT86CA,1,205.68,住宅,鋼筋混凝土構造,103年7月7日,003,一層 二層 三層
RPSNMLOKMHKFFDT96CA,25,134.65,店舖、住宅,加強磚造,79年8月6日,001,一層
RPVOMLQKMHKFFAT37DA,15,126.60,見其他登記事項,鋼筋混凝土造,88年12月4日,014,十一層
RPVOMLQKMHKFFAT37DA,15,38.41,見其他登記事項,鋼筋混凝土造,88年12月4日,014
