"縣市","鄉鎮市區","交易標的","土地區段位置或建物區門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價每平方公尺","車位類別","車位移轉總面積平方公尺","車位總價元","lat","lon"
"臺北市","內湖區","房地(土地+建物)+車位","臺北市內湖區行善路225號",43.97,"其他",NA,NA,10401,"土地1建物1車位2","四層",15,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",990329,339.59,4,2,2,"有","有",60500000,178156,"坡道平面",54.36,0,25.06,121.58
"臺北市","內湖區","房地(土地+建物)","臺北市內湖區內湖路一段629巷33弄15號",32.4,"住",NA,NA,10401,"土地1建物1車位0","三層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",701229,116.34,3,2,2,"有","無",20300000,174489,"",0,0,25.081,121.57
"臺北市","南港區","房地(土地+建物)","臺北市南港區南港路三段106巷4弄15號",26.5,"工",NA,NA,10402,"土地1建物1車位0","一層，平台",4,"公寓(5樓含以下無電梯)","工業用","鋼筋混凝土造",NA,82.31,2,1,1,"有","無",1.2e+07,145790,"",0,0,25.054,121.58
"臺北市","信義區","房地(土地+建物)+車位","臺北市信義區忠孝東路五段225號",20.72,"商",NA,NA,10401,"土地2建物1車位1","九層",14,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",940930,138.13,2,2,2,"有","有",50880000,368349,"坡道平面",29.92,0,25.041,121.56
"臺北市","信義區","房地(土地+建物)","臺北市信義區虎林街212巷15號",38,"住",NA,NA,10402,"土地2建物1車位0","四層",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",581114,86.55,3,2,1,"有","無",14500000,167533,"",0,0,25.037,121.57
"臺北市","信義區","房地(土地+建物)","臺北市信義區吳興街156巷2弄15號",36,"住",NA,NA,10312,"土地2建物1車位0","四層，陽台",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",650127,104.2,3,2,2,"有","無",1.9e+07,182342,"",0,0,25.028,121.56
"臺北市","信義區","房地(土地+建物)","臺北市信義區林口街10巷45號",35.75,"住",NA,NA,10402,"土地2建物1車位0","四層",4,"公寓(5樓含以下無電梯)","住家用","加強磚造",581215,67.65,3,2,1,"有","無",13150000,194383,"",0,0,25.037,121.58
"臺北市","北投區","房地(土地+建物)","臺北市北投區吉利街225號",27.31,"住",NA,NA,10402,"土地1建物1車位0","三層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",690926,111.96,3,2,2,"有","無",14950000,133530,"",0,0,25.118,121.5
"臺北市","北投區","房地(土地+建物)","臺北市北投區中央北路三段40巷43弄15號",47.39,"住",NA,NA,10310,"土地1建物1車位0","一層",3,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",850208,97.85,3,2,2,"有","無",14100000,144098,"",0,0,25.138,121.48
"臺北市","士林區","房地(土地+建物)","臺北市士林區基河路15號",7.52,"住",NA,NA,10401,"土地2建物1車位0","八層",13,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",871211,48.25,1,1,1,"有","有",11580000,240000,"",0,0,25.087,121.52
"臺北市","士林區","房地(土地+建物)","臺北市士林區光華路26巷15號",18.4,"住",NA,NA,10312,"土地2建物2車位0","六層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",670714,88.45,2,1,2,"有","無",5e+06,56529,"",0,0,25.083,121.46
