編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLNLLHKFFBD08CA,17,8.04,共有部分,鋼筋混凝土造,87年5月14日,013
RPWNMLNLLHKFFBD08CA,17,14.97,共有部分,鋼筋混凝土造,87年5月14日,013
RPOOMLNLLHKFFBD37CA,15,163.30,住家用,鋼筋混凝土造,88年9月1日,003,一層 二層 三層 屋頂突出物 騎樓
RPPNMLNLLHKFFBD37CA,,197.42,住家用,鋼筋混凝土造,103年10月31日,004,一層 二層 三層 四層
RPSNMLTKLHKFFBD18CA,19,106.95,住家用,鋼筋混凝土造,85年8月16日,017,十二層 十三層
RPSNMLTKLHKFFBD18CA,19,18.01,見其他登記事項,鋼筋混凝土造,85年8月16日,017
RPSNMLTKLHKFFBD18CA,19,9.72,見其他登記事項,鋼筋混凝土造,85年8月16日,017
RPRNMLKLLHKFFBD27CA,1,219.65,住家用,鋼筋混凝土造,103年1月14日,003,一層 二層 三層 屋頂突出物
RPWNMLRJMHKFFAD28CA,2,559.46,見其他登記事項,見其他登記事項,102年5月17日,005,一層 二層 三層 四層 五層
RPPNMLNJMHKFFAD17CA,24,264.98,商業用,鋼筋混凝土造,80年8月12日,012,九層
RPPNMLNJMHKFFAD17CA,24,79.46,共有部分,鋼筋混凝土造,80年8月12日,012
RPUOMLNKMHKFFAD87CA,25,549.10,商業用,鋼筋混凝土構造,78年11月16日,012,八層
RPUOMLNKMHKFFAD87CA,25,28.70,共有部分,鋼筋混凝土構造,78年11月16日,012
RPUOMLNKMHKFFAD87CA,25,6.61,共有部分,鋼筋混凝土構造,78年11月16日,012
RPUOMLNKMHKFFAD87CA,25,20.31,共有部分,鋼筋混凝土構造,78年11月16日,012
RPUOMLNKMHKFFAD87CA,25,24.09,共有部分,鋼筋混凝土構造,78年11月16日,012
RPXNMLLJMHKFFAD77CA,44,138.44,住家用,鋼筋混凝土加強磚造,59年9月26日,002,一層 二層
RPQOMLRLLHKFFAD87CA,1,38.19,見其他登記事項,見其他登記事項,102年11月25日,014,八層
RPQOMLRLLHKFFAD87CA,1,11.30,見其他登記事項,見其他登記事項,102年11月25日,014
RPQOMLRLLHKFFAD87CA,1,8.71,見其他登記事項,見其他登記事項,102年11月25日,014
RPTOMLNLLHKFFAD77CA,33,80.99,住家用,鋼筋混凝土構造,71年2月24日,005,一層 二層
RPTOMLNLLHKFFAD77CA,33,7.05,共有部分,鋼筋混凝土構造,71年2月24日,005
RPTOMLNLLHKFFAD77CA,,8.97,共有部分,鋼筋混凝土構造,,000
RPVOMLNLLHKFFAD97CA,63,69.68,住家用,磚造,41年4月16日,002,一層 二層
